FName,LName,Team,OppTeam,GamePoints,GameAssists,GameRebounds,GmPointsFor,GmPointsAgainst,Year
Donovan,Mitchell,Utah Jazz,Detroit Pistons,3,14,1,58,62,2010,
Donovan,Mitchell,Utah Jazz,Atlanta Hawks,14,4,9,92,63,2017,
Donovan,Mitchell,Utah Jazz,Washington Wizards,9,2,10,89,84,2004,
Donovan,Mitchell,Utah Jazz,Detroit Pistons,0,2,6,68,72,2010,
Donovan,Mitchell,Utah Jazz,Orlando Magic,6,3,8,60,70,2017,
Donovan,Mitchell,Utah Jazz,Milwaukee Bucks,14,1,8,109,89,2010,
Donovan,Mitchell,Utah Jazz,Dallas Mavericks,11,7,14,64,58,2013,
Donovan,Mitchell,Utah Jazz,Brooklyn Nets,4,10,14,99,71,2015,
Donovan,Mitchell,Utah Jazz,New Orleans Hornets,5,0,12,78,81,2003,
Donovan,Mitchell,Utah Jazz,Boston Celtics,3,4,1,86,100,2017,
Donovan,Mitchell,Utah Jazz,Miami Heat,4,5,13,54,55,2003,
Donovan,Mitchell,Utah Jazz,Milwaukee Bucks,12,6,0,107,106,2005,
Donovan,Mitchell,Utah Jazz,Orlando Magic,12,8,12,77,94,2017,
Donovan,Mitchell,Utah Jazz,Cleveland Cavaliers,5,2,14,58,61,2008,
Donovan,Mitchell,Utah Jazz,Sacramento Kings,18,14,7,62,102,2017,
Donovan,Mitchell,Utah Jazz,San Antonio Spurs,9,8,0,83,81,2016,
Donovan,Mitchell,Utah Jazz,Miami Heat,2,6,1,70,70,2002,
Donovan,Mitchell,Utah Jazz,Sacramento Kings,17,5,7,60,98,2009,
Donovan,Mitchell,Utah Jazz,New York Knicks,12,10,12,77,69,2004,
Donovan,Mitchell,Utah Jazz,Los Angeles Clippers,17,1,8,69,65,2011,
Donovan,Mitchell,Utah Jazz,Minnesota Timberwolves,14,3,9,68,95,2010,
Donovan,Mitchell,Utah Jazz,New Orleans Hornets,9,1,7,108,72,2013,
Donovan,Mitchell,Utah Jazz,New York Knicks,3,2,1,68,105,2015,
Donovan,Mitchell,Utah Jazz,Detroit Pistons,1,8,3,83,90,2016,
Donovan,Mitchell,Utah Jazz,Miami Heat,8,2,9,75,58,2006,
Donovan,Mitchell,Utah Jazz,Houston Rockets,1,0,4,94,75,2005,
Donovan,Mitchell,Utah Jazz,Los Angeles Clippers,6,6,1,85,57,2007,
Donovan,Mitchell,Utah Jazz,Philadelphia 76ers,10,5,0,98,74,2018,
Donovan,Mitchell,Utah Jazz,Denver Nuggets,5,0,10,87,93,2001,
Donovan,Mitchell,Utah Jazz,New Orleans Hornets,9,0,12,103,51,2016,
Donovan,Mitchell,Utah Jazz,Washington Wizards,12,6,13,92,68,2003,
Donovan,Mitchell,Utah Jazz,Boston Celtics,10,1,1,96,89,2002,
Donovan,Mitchell,Utah Jazz,Washington Wizards,1,2,3,106,67,2008,
Donovan,Mitchell,Utah Jazz,Washington Wizards,0,10,14,55,106,2006,
Donovan,Mitchell,Utah Jazz,Philadelphia 76ers,15,8,1,77,84,2011,
Donovan,Mitchell,Utah Jazz,San Antonio Spurs,15,14,6,98,67,2017,
Donovan,Mitchell,Utah Jazz,Dallas Mavericks,7,3,9,85,106,2006,
Donovan,Mitchell,Utah Jazz,Charlotte Bobcats,5,5,5,88,76,2003,
Donovan,Mitchell,Utah Jazz,Houston Rockets,3,12,1,94,89,2014,
Donovan,Mitchell,Utah Jazz,Milwaukee Bucks,9,7,2,72,96,2013,
Donovan,Mitchell,Utah Jazz,Memphis Grizzlies,8,12,2,83,73,2013,
Donovan,Mitchell,Utah Jazz,Philadelphia 76ers,19,3,5,88,104,2011,
Donovan,Mitchell,Utah Jazz,Chicago Bulls,13,3,6,105,73,2012,
Donovan,Mitchell,Utah Jazz,Brooklyn Nets,16,13,6,77,86,2006,
Donovan,Mitchell,Utah Jazz,Denver Nuggets,2,13,6,69,74,2006,
Donovan,Mitchell,Utah Jazz,Philadelphia 76ers,6,11,9,92,71,2007,
Donovan,Mitchell,Utah Jazz,Cleveland Cavaliers,0,7,6,85,105,2003,
Donovan,Mitchell,Utah Jazz,Los Angeles Lakers,8,14,13,92,67,2018,
Donovan,Mitchell,Utah Jazz,New York Knicks,14,4,11,72,56,2012,
Donovan,Mitchell,Utah Jazz,Chicago Bulls,3,6,6,68,106,2011,
Donovan,Mitchell,Utah Jazz,Sacramento Kings,6,5,5,51,71,2006,
Donovan,Mitchell,Utah Jazz,Washington Wizards,7,11,7,76,104,2004,
Donovan,Mitchell,Utah Jazz,Denver Nuggets,14,11,11,72,73,2012,
Donovan,Mitchell,Utah Jazz,Cleveland Cavaliers,8,12,9,73,67,2012,
Donovan,Mitchell,Utah Jazz,Los Angeles Clippers,17,3,14,90,64,2003,
Donovan,Mitchell,Utah Jazz,Boston Celtics,1,13,0,87,54,2013,
Donovan,Mitchell,Utah Jazz,Milwaukee Bucks,11,1,5,96,54,2009,
Donovan,Mitchell,Utah Jazz,Atlanta Hawks,12,2,1,106,95,2017,
Donovan,Mitchell,Utah Jazz,Memphis Grizzlies,14,12,11,60,79,2002,
Donovan,Mitchell,Utah Jazz,Los Angeles Lakers,10,7,1,100,108,2002,
Donovan,Mitchell,Utah Jazz,Los Angeles Lakers,6,10,2,102,63,2008,
Donovan,Mitchell,Utah Jazz,Toronto Raptors,3,7,13,104,109,2004,
Donovan,Mitchell,Utah Jazz,Denver Nuggets,13,9,8,89,66,2014,
Donovan,Mitchell,Utah Jazz,Charlotte Bobcats,12,1,3,89,50,2003,
Donovan,Mitchell,Utah Jazz,Los Angeles Clippers,5,11,5,91,74,2010,
Donovan,Mitchell,Utah Jazz,Houston Rockets,8,2,8,64,75,2018,
Donovan,Mitchell,Utah Jazz,Philadelphia 76ers,13,8,7,106,81,2002,
Donovan,Mitchell,Utah Jazz,Atlanta Hawks,11,0,11,70,87,2011,
Donovan,Mitchell,Utah Jazz,Detroit Pistons,0,7,11,85,96,2001,
Donovan,Mitchell,Utah Jazz,Detroit Pistons,11,12,7,94,90,2009,
Donovan,Mitchell,Utah Jazz,Los Angeles Lakers,18,14,3,94,95,2011,
Donovan,Mitchell,Utah Jazz,Atlanta Hawks,11,10,10,88,78,2007,
Donovan,Mitchell,Utah Jazz,Portland Trail Blazers,18,7,7,53,109,2018,
Donovan,Mitchell,Utah Jazz,Charlotte Bobcats,4,13,8,55,91,2005,
Donovan,Mitchell,Utah Jazz,Sacramento Kings,13,1,10,71,100,2010,
Donovan,Mitchell,Utah Jazz,Dallas Mavericks,10,3,14,72,100,2012,
Donovan,Mitchell,Utah Jazz,Los Angeles Lakers,18,2,12,52,65,2011,
Donovan,Mitchell,Utah Jazz,Orlando Magic,15,9,5,79,68,2012,
Donovan,Mitchell,Utah Jazz,Los Angeles Clippers,8,8,12,75,81,2003,
Donovan,Mitchell,Utah Jazz,Sacramento Kings,19,8,14,57,66,2018,
Donovan,Mitchell,Utah Jazz,Cleveland Cavaliers,13,2,7,59,108,2008,
Donovan,Mitchell,Utah Jazz,Los Angeles Lakers,17,13,14,65,80,2017,
Donovan,Mitchell,Utah Jazz,Cleveland Cavaliers,1,11,10,99,70,2008,
Donovan,Mitchell,Utah Jazz,Golden State Warriors,5,4,8,75,79,2005,
Donovan,Mitchell,Utah Jazz,Cleveland Cavaliers,1,12,3,97,56,2001,
Donovan,Mitchell,Utah Jazz,Los Angeles Clippers,6,11,14,88,53,2001,
Donovan,Mitchell,Utah Jazz,Detroit Pistons,4,4,4,84,84,2006,
Donovan,Mitchell,Utah Jazz,New York Knicks,1,2,7,84,62,2011,
Donovan,Mitchell,Utah Jazz,New Orleans Hornets,2,4,8,109,87,2006,
Donovan,Mitchell,Utah Jazz,Cleveland Cavaliers,16,0,1,56,79,2012,
Donovan,Mitchell,Utah Jazz,New Orleans Hornets,2,4,5,65,69,2000,
Donovan,Mitchell,Utah Jazz,Indiana Pacers,16,6,8,51,85,2017,
Donovan,Mitchell,Utah Jazz,New York Knicks,7,2,8,109,103,2008,
Donovan,Mitchell,Utah Jazz,New Orleans Hornets,6,6,11,56,101,2000,
Donovan,Mitchell,Utah Jazz,Chicago Bulls,9,10,1,108,51,2009,
Donovan,Mitchell,Utah Jazz,Miami Heat,2,14,6,72,97,2007,
Donovan,Mitchell,Utah Jazz,Toronto Raptors,3,5,6,87,73,2000,
Donovan,Mitchell,Utah Jazz,Sacramento Kings,13,1,5,64,55,2009,
Donovan,Mitchell,Utah Jazz,New Orleans Hornets,14,6,9,92,62,2003,
Donovan,Mitchell,Utah Jazz,Detroit Pistons,8,4,8,98,52,2007,
Donovan,Mitchell,Utah Jazz,Atlanta Hawks,17,0,4,96,90,2010,
Donovan,Mitchell,Utah Jazz,Orlando Magic,9,4,0,69,63,2002,
Donovan,Mitchell,Utah Jazz,Houston Rockets,14,0,0,104,97,2004,
Donovan,Mitchell,Utah Jazz,Chicago Bulls,16,5,5,100,90,2005,
Donovan,Mitchell,Utah Jazz,Portland Trail Blazers,11,12,11,104,108,2000,
Donovan,Mitchell,Utah Jazz,Cleveland Cavaliers,16,4,0,62,107,2006,
Donovan,Mitchell,Utah Jazz,Detroit Pistons,7,0,8,83,78,2005,
Donovan,Mitchell,Utah Jazz,Memphis Grizzlies,10,14,14,108,54,2001,
Donovan,Mitchell,Utah Jazz,Golden State Warriors,11,11,6,55,102,2013,
Donovan,Mitchell,Utah Jazz,Portland Trail Blazers,19,12,5,93,89,2011,
Donovan,Mitchell,Utah Jazz,Oklahoma City Thunder,0,14,13,79,82,2006,
Donovan,Mitchell,Utah Jazz,Indiana Pacers,1,3,11,90,90,2002,
Donovan,Mitchell,Utah Jazz,New Orleans Hornets,18,13,10,85,97,2017,
Donovan,Mitchell,Utah Jazz,San Antonio Spurs,6,0,14,86,91,2016,
Donovan,Mitchell,Utah Jazz,Atlanta Hawks,2,13,12,104,105,2009,
Donovan,Mitchell,Utah Jazz,New York Knicks,11,5,13,60,90,2007,
Donovan,Mitchell,Utah Jazz,Philadelphia 76ers,9,7,10,58,58,2005,
Donovan,Mitchell,Utah Jazz,New York Knicks,8,11,1,87,103,2007,
Donovan,Mitchell,Utah Jazz,Sacramento Kings,15,2,14,69,90,2001,
Donovan,Mitchell,Utah Jazz,San Antonio Spurs,14,6,10,101,92,2011,
Donovan,Mitchell,Utah Jazz,Phoenix Suns,4,2,4,60,78,2006,
Donovan,Mitchell,Utah Jazz,Toronto Raptors,19,14,8,74,72,2009,
Donovan,Mitchell,Utah Jazz,Los Angeles Clippers,10,5,10,107,84,2005,
Donovan,Mitchell,Utah Jazz,Los Angeles Lakers,10,9,9,61,66,2014,
Donovan,Mitchell,Utah Jazz,Charlotte Bobcats,2,11,5,81,108,2007,
Donovan,Mitchell,Utah Jazz,Portland Trail Blazers,5,11,2,66,78,2008,
Donovan,Mitchell,Utah Jazz,Denver Nuggets,7,7,4,102,62,2001,
Donovan,Mitchell,Utah Jazz,Milwaukee Bucks,0,11,10,103,62,2017,
Donovan,Mitchell,Utah Jazz,Houston Rockets,12,10,5,91,68,2009,
Donovan,Mitchell,Utah Jazz,New York Knicks,14,14,4,73,75,2004,
Donovan,Mitchell,Utah Jazz,Chicago Bulls,19,13,2,103,53,2016,
Donovan,Mitchell,Utah Jazz,Milwaukee Bucks,15,6,12,79,76,2004,
Donovan,Mitchell,Utah Jazz,Cleveland Cavaliers,16,12,11,66,80,2016,
Donovan,Mitchell,Utah Jazz,Phoenix Suns,7,3,7,65,105,2004,
Donovan,Mitchell,Utah Jazz,Miami Heat,15,9,8,102,83,2008,
Donovan,Mitchell,Utah Jazz,Cleveland Cavaliers,12,9,5,52,69,2018,
Donovan,Mitchell,Utah Jazz,Phoenix Suns,14,9,5,104,82,2014,
Donovan,Mitchell,Utah Jazz,Washington Wizards,8,14,7,77,79,2010,
Donovan,Mitchell,Utah Jazz,Sacramento Kings,16,10,7,87,108,2006,
Donovan,Mitchell,Utah Jazz,Cleveland Cavaliers,18,8,2,83,67,2015,
Donovan,Mitchell,Utah Jazz,Philadelphia 76ers,6,2,11,78,79,2016,
Donovan,Mitchell,Utah Jazz,Minnesota Timberwolves,13,2,9,100,76,2004,
Donovan,Mitchell,Utah Jazz,Orlando Magic,0,4,9,108,75,2002,
Donovan,Mitchell,Utah Jazz,Memphis Grizzlies,9,7,4,51,87,2014,
Donovan,Mitchell,Utah Jazz,Sacramento Kings,3,6,4,74,69,2010,
Donovan,Mitchell,Utah Jazz,Chicago Bulls,17,3,8,105,108,2003,
Donovan,Mitchell,Utah Jazz,Houston Rockets,9,11,13,57,51,2011,
Paul,George,Indiana Pacers,Los Angeles Lakers,3,13,6,106,93,2005,
Paul,George,Indiana Pacers,Memphis Grizzlies,1,1,6,101,53,2013,
Paul,George,Indiana Pacers,Toronto Raptors,10,13,5,106,95,2003,
Paul,George,Indiana Pacers,San Antonio Spurs,12,1,12,65,106,2004,
Paul,George,Indiana Pacers,Sacramento Kings,8,0,2,98,79,2006,
Paul,George,Indiana Pacers,Chicago Bulls,16,14,12,102,67,2016,
Paul,George,Indiana Pacers,Washington Wizards,1,11,7,90,60,2017,
Paul,George,Indiana Pacers,Charlotte Bobcats,4,14,13,50,62,2007,
Paul,George,Indiana Pacers,Golden State Warriors,13,5,2,68,79,2003,
Paul,George,Indiana Pacers,New Orleans Hornets,17,13,6,69,73,2007,
Paul,George,Indiana Pacers,Oklahoma City Thunder,16,6,6,96,90,2011,
Paul,George,Indiana Pacers,Dallas Mavericks,9,0,0,76,99,2001,
Paul,George,Indiana Pacers,New York Knicks,1,10,2,70,84,2000,
Paul,George,Indiana Pacers,Los Angeles Clippers,19,11,0,77,95,2010,
Paul,George,Indiana Pacers,New Orleans Hornets,13,3,14,65,95,2011,
Paul,George,Indiana Pacers,Brooklyn Nets,1,0,4,83,95,2007,
Paul,George,Indiana Pacers,Los Angeles Lakers,1,12,9,84,99,2011,
Paul,George,Indiana Pacers,Houston Rockets,11,2,0,109,80,2008,
Paul,George,Indiana Pacers,Washington Wizards,10,13,1,98,54,2001,
Paul,George,Indiana Pacers,Detroit Pistons,15,10,14,76,88,2012,
Paul,George,Indiana Pacers,Miami Heat,14,3,3,53,88,2014,
Paul,George,Indiana Pacers,Utah Jazz,1,6,12,53,69,2012,
Paul,George,Indiana Pacers,New Orleans Hornets,16,12,14,93,62,2000,
Paul,George,Indiana Pacers,San Antonio Spurs,3,10,3,58,99,2003,
Paul,George,Indiana Pacers,Miami Heat,3,12,13,103,90,2013,
Paul,George,Indiana Pacers,Detroit Pistons,1,1,12,103,92,2009,
Paul,George,Indiana Pacers,Los Angeles Lakers,16,1,5,76,82,2007,
Paul,George,Indiana Pacers,New Orleans Hornets,6,1,13,89,108,2005,
Paul,George,Indiana Pacers,Los Angeles Clippers,14,2,1,95,98,2015,
Paul,George,Indiana Pacers,Chicago Bulls,2,10,2,90,98,2015,
Paul,George,Indiana Pacers,Charlotte Bobcats,2,9,0,54,94,2009,
Paul,George,Indiana Pacers,Phoenix Suns,6,10,0,82,89,2011,
Paul,George,Indiana Pacers,Houston Rockets,18,7,11,72,103,2004,
Paul,George,Indiana Pacers,Chicago Bulls,2,4,14,97,100,2005,
Paul,George,Indiana Pacers,Memphis Grizzlies,3,11,8,108,71,2009,
Paul,George,Indiana Pacers,Orlando Magic,6,0,2,86,107,2007,
Paul,George,Indiana Pacers,Minnesota Timberwolves,18,8,1,97,57,2009,
Paul,George,Indiana Pacers,Houston Rockets,7,10,5,56,100,2003,
Paul,George,Indiana Pacers,Golden State Warriors,8,10,10,105,67,2007,
Paul,George,Indiana Pacers,Chicago Bulls,8,0,0,55,87,2016,
Paul,George,Indiana Pacers,Detroit Pistons,1,6,13,82,51,2014,
Paul,George,Indiana Pacers,Golden State Warriors,14,12,12,84,83,2012,
Paul,George,Indiana Pacers,Los Angeles Clippers,12,0,14,95,79,2000,
Paul,George,Indiana Pacers,Orlando Magic,19,1,12,72,107,2007,
Paul,George,Indiana Pacers,Milwaukee Bucks,8,7,0,80,82,2005,
Paul,George,Indiana Pacers,Boston Celtics,12,12,4,104,58,2012,
Paul,George,Indiana Pacers,Detroit Pistons,8,9,8,56,64,2014,
Paul,George,Indiana Pacers,Los Angeles Clippers,6,3,10,54,78,2015,
Paul,George,Indiana Pacers,New York Knicks,7,8,12,60,101,2018,
Paul,George,Indiana Pacers,Sacramento Kings,2,4,2,76,78,2003,
Paul,George,Indiana Pacers,Washington Wizards,8,13,6,107,76,2014,
Paul,George,Indiana Pacers,Washington Wizards,12,7,4,56,87,2012,
Paul,George,Indiana Pacers,Brooklyn Nets,3,8,4,64,97,2007,
Paul,George,Indiana Pacers,San Antonio Spurs,0,8,3,75,54,2002,
Paul,George,Indiana Pacers,Atlanta Hawks,4,6,4,83,79,2017,
Paul,George,Indiana Pacers,Charlotte Bobcats,16,14,9,76,62,2013,
Paul,George,Indiana Pacers,Charlotte Bobcats,7,13,3,91,85,2012,
Paul,George,Indiana Pacers,Miami Heat,15,14,12,90,55,2001,
Paul,George,Indiana Pacers,Sacramento Kings,6,4,13,96,58,2008,
Paul,George,Indiana Pacers,Milwaukee Bucks,6,2,7,80,80,2013,
Paul,George,Indiana Pacers,Cleveland Cavaliers,14,1,11,92,62,2000,
Paul,George,Indiana Pacers,San Antonio Spurs,6,8,10,73,98,2007,
Paul,George,Indiana Pacers,San Antonio Spurs,18,4,2,87,98,2000,
Paul,George,Indiana Pacers,Boston Celtics,13,13,1,51,51,2010,
Paul,George,Indiana Pacers,Atlanta Hawks,6,10,3,96,75,2017,
Paul,George,Indiana Pacers,Portland Trail Blazers,18,8,4,69,84,2009,
Paul,George,Indiana Pacers,Los Angeles Lakers,7,8,1,60,72,2007,
Paul,George,Indiana Pacers,Oklahoma City Thunder,17,13,8,62,69,2010,
Paul,George,Indiana Pacers,Cleveland Cavaliers,6,3,1,77,60,2009,
Paul,George,Indiana Pacers,Philadelphia 76ers,16,0,1,102,75,2006,
Paul,George,Indiana Pacers,Miami Heat,1,10,5,83,55,2003,
Paul,George,Indiana Pacers,Cleveland Cavaliers,10,8,9,85,59,2009,
Paul,George,Indiana Pacers,Memphis Grizzlies,19,6,5,100,86,2001,
Paul,George,Indiana Pacers,Dallas Mavericks,6,13,5,97,98,2016,
Paul,George,Indiana Pacers,Dallas Mavericks,18,1,2,52,60,2005,
Paul,George,Indiana Pacers,Atlanta Hawks,14,3,7,59,64,2009,
Paul,George,Indiana Pacers,Orlando Magic,14,5,1,79,71,2000,
Paul,George,Indiana Pacers,Cleveland Cavaliers,6,5,2,98,72,2000,
Paul,George,Indiana Pacers,Boston Celtics,0,5,0,107,83,2017,
Paul,George,Indiana Pacers,Miami Heat,4,7,11,85,108,2005,
Paul,George,Indiana Pacers,Detroit Pistons,18,6,5,86,78,2006,
Paul,George,Indiana Pacers,San Antonio Spurs,19,6,2,77,107,2009,
Paul,George,Indiana Pacers,Chicago Bulls,5,5,6,82,81,2003,
Paul,George,Indiana Pacers,Los Angeles Clippers,8,10,1,65,80,2011,
Paul,George,Indiana Pacers,New Orleans Hornets,13,2,2,96,90,2001,
Paul,George,Indiana Pacers,Utah Jazz,6,4,11,101,51,2016,
Paul,George,Indiana Pacers,Charlotte Bobcats,9,3,1,70,50,2005,
Paul,George,Indiana Pacers,Oklahoma City Thunder,19,8,7,50,58,2017,
Paul,George,Indiana Pacers,San Antonio Spurs,5,2,1,95,81,2014,
Paul,George,Indiana Pacers,Brooklyn Nets,5,5,10,108,85,2011,
Paul,George,Indiana Pacers,New Orleans Hornets,15,13,13,77,58,2011,
Paul,George,Indiana Pacers,Chicago Bulls,9,13,14,61,53,2004,
Paul,George,Indiana Pacers,Detroit Pistons,4,4,2,50,79,2017,
Paul,George,Indiana Pacers,Los Angeles Clippers,19,13,9,98,60,2006,
Paul,George,Indiana Pacers,Phoenix Suns,14,7,0,100,65,2014,
Paul,George,Indiana Pacers,Golden State Warriors,13,2,12,80,57,2003,
Paul,George,Indiana Pacers,Toronto Raptors,17,1,11,95,101,2010,
Paul,George,Indiana Pacers,Cleveland Cavaliers,6,4,8,105,87,2014,
Paul,George,Indiana Pacers,New Orleans Hornets,1,6,2,50,56,2002,
Paul,George,Indiana Pacers,Atlanta Hawks,2,4,0,91,93,2017,
Paul,George,Indiana Pacers,Golden State Warriors,11,14,10,84,72,2004,
Paul,George,Indiana Pacers,Utah Jazz,15,11,2,59,75,2015,
Paul,George,Indiana Pacers,Detroit Pistons,14,14,3,50,55,2017,
Paul,George,Indiana Pacers,Washington Wizards,1,13,13,94,61,2015,
Paul,George,Indiana Pacers,Houston Rockets,12,13,3,87,96,2015,
Paul,George,Indiana Pacers,Washington Wizards,9,13,14,59,104,2003,
Paul,George,Indiana Pacers,Sacramento Kings,5,9,4,97,71,2003,
Paul,George,Indiana Pacers,Oklahoma City Thunder,5,10,3,90,107,2017,
Paul,George,Indiana Pacers,New Orleans Hornets,4,14,9,84,109,2012,
Paul,George,Indiana Pacers,Toronto Raptors,0,6,5,82,66,2000,
Paul,George,Indiana Pacers,Miami Heat,3,9,11,77,57,2003,
Paul,George,Indiana Pacers,Chicago Bulls,18,2,0,59,65,2004,
Paul,George,Indiana Pacers,Toronto Raptors,8,5,2,83,66,2005,
Paul,George,Indiana Pacers,Charlotte Bobcats,2,0,0,81,52,2005,
Paul,George,Indiana Pacers,Memphis Grizzlies,12,9,6,56,95,2014,
Paul,George,Indiana Pacers,Orlando Magic,2,12,9,104,93,2005,
Paul,George,Indiana Pacers,Atlanta Hawks,6,6,5,57,92,2006,
Paul,George,Indiana Pacers,Los Angeles Lakers,15,3,14,86,100,2006,
Paul,George,Indiana Pacers,Philadelphia 76ers,5,12,9,56,66,2009,
Paul,George,Indiana Pacers,Charlotte Bobcats,14,0,0,90,104,2001,
Paul,George,Indiana Pacers,Orlando Magic,1,5,5,96,62,2006,
Paul,George,Indiana Pacers,Phoenix Suns,6,1,9,54,91,2008,
Paul,George,Indiana Pacers,Houston Rockets,3,8,9,67,60,2009,
Paul,George,Indiana Pacers,Los Angeles Clippers,15,12,9,84,107,2009,
Paul,George,Indiana Pacers,Memphis Grizzlies,12,12,10,79,80,2011,
Paul,George,Indiana Pacers,Cleveland Cavaliers,11,13,11,107,67,2010,
Paul,George,Indiana Pacers,Los Angeles Lakers,16,1,13,51,88,2014,
Paul,George,Indiana Pacers,New York Knicks,0,3,0,98,102,2007,
Paul,George,Indiana Pacers,Chicago Bulls,12,13,4,83,93,2018,
Paul,George,Indiana Pacers,New York Knicks,14,9,13,92,101,2005,
Paul,George,Indiana Pacers,Toronto Raptors,16,14,3,61,56,2011,
Paul,George,Indiana Pacers,Los Angeles Lakers,13,10,10,94,94,2003,
Paul,George,Indiana Pacers,Milwaukee Bucks,14,7,8,83,103,2010,
Paul,George,Indiana Pacers,Atlanta Hawks,9,14,0,95,52,2001,
Paul,George,Indiana Pacers,Cleveland Cavaliers,15,14,1,104,53,2014,
Paul,George,Indiana Pacers,Minnesota Timberwolves,14,8,9,104,55,2006,
Paul,George,Indiana Pacers,Los Angeles Lakers,16,13,3,93,55,2014,
Paul,George,Indiana Pacers,Memphis Grizzlies,19,7,3,83,92,2010,
Paul,George,Indiana Pacers,New York Knicks,10,6,7,94,86,2007,
Paul,George,Indiana Pacers,Los Angeles Clippers,2,9,3,53,82,2014,
Paul,George,Indiana Pacers,Miami Heat,12,4,14,78,57,2011,
Paul,George,Indiana Pacers,Detroit Pistons,7,13,10,53,90,2006,
Paul,George,Indiana Pacers,Milwaukee Bucks,16,12,4,99,54,2015,
Paul,George,Indiana Pacers,Milwaukee Bucks,7,5,14,73,82,2008,
Paul,George,Indiana Pacers,San Antonio Spurs,14,6,1,81,70,2009,
Paul,George,Indiana Pacers,Cleveland Cavaliers,5,12,3,109,78,2012,
Paul,George,Indiana Pacers,Philadelphia 76ers,8,8,14,60,62,2007,
Paul,George,Indiana Pacers,New York Knicks,1,8,13,64,59,2010,
Paul,George,Indiana Pacers,Los Angeles Lakers,18,7,14,103,95,2006,
Paul,George,Indiana Pacers,Boston Celtics,18,12,7,106,106,2002,
Paul,George,Indiana Pacers,Cleveland Cavaliers,8,11,14,102,107,2013,
Paul,George,Indiana Pacers,Dallas Mavericks,16,7,4,73,89,2005,
Paul,George,Indiana Pacers,Dallas Mavericks,3,13,2,84,76,2016,
Paul,George,Indiana Pacers,Memphis Grizzlies,5,14,6,56,102,2014,
Paul,George,Indiana Pacers,Washington Wizards,18,10,14,91,76,2001,
Paul,George,Indiana Pacers,San Antonio Spurs,13,14,12,77,102,2002,
Paul,George,Indiana Pacers,Dallas Mavericks,6,10,10,87,73,2007,
Paul,George,Indiana Pacers,Orlando Magic,5,14,13,68,78,2013,
Paul,George,Indiana Pacers,Memphis Grizzlies,9,4,2,81,81,2004,
Paul,George,Indiana Pacers,Detroit Pistons,3,0,7,75,53,2008,
Paul,George,Indiana Pacers,Brooklyn Nets,5,10,11,70,96,2017,
Paul,George,Indiana Pacers,Chicago Bulls,10,12,8,71,99,2010,
Paul,George,Indiana Pacers,Charlotte Bobcats,9,9,14,50,61,2007,
Paul,George,Indiana Pacers,Toronto Raptors,5,13,3,75,55,2000,
Paul,George,Indiana Pacers,Milwaukee Bucks,3,4,13,99,95,2018,
Paul,George,Indiana Pacers,Chicago Bulls,19,12,1,69,57,2006,
Paul,George,Indiana Pacers,Orlando Magic,8,1,10,78,74,2007,
Paul,George,Indiana Pacers,Dallas Mavericks,2,8,13,52,69,2015,
Paul,George,Indiana Pacers,Washington Wizards,11,5,5,108,61,2012,
Paul,George,Indiana Pacers,Atlanta Hawks,10,4,0,73,90,2004,
Paul,George,Indiana Pacers,Brooklyn Nets,3,9,9,97,74,2014,
Paul,George,Indiana Pacers,Brooklyn Nets,11,5,7,99,92,2010,
Paul,George,Indiana Pacers,Charlotte Bobcats,1,12,13,107,100,2004,
Paul,George,Indiana Pacers,Charlotte Bobcats,5,13,3,53,76,2001,
Paul,George,Indiana Pacers,Philadelphia 76ers,6,6,4,74,91,2011,
Paul,George,Indiana Pacers,Charlotte Bobcats,17,14,4,56,73,2000,
Paul,George,Indiana Pacers,Dallas Mavericks,6,0,11,81,91,2001,
Paul,George,Indiana Pacers,Phoenix Suns,11,12,0,100,86,2010,
Paul,George,Indiana Pacers,Chicago Bulls,17,12,13,85,62,2006,
Paul,George,Indiana Pacers,Cleveland Cavaliers,3,1,6,99,66,2006,
Paul,George,Indiana Pacers,Oklahoma City Thunder,4,8,6,86,56,2010,
Paul,George,Indiana Pacers,Dallas Mavericks,8,4,4,104,59,2007,
Paul,George,Indiana Pacers,Denver Nuggets,8,0,14,98,51,2008,
Paul,George,Indiana Pacers,Dallas Mavericks,19,14,10,76,56,2014,
Paul,George,Indiana Pacers,Houston Rockets,15,8,10,63,79,2006,
Paul,George,Indiana Pacers,Detroit Pistons,19,14,12,91,102,2017,
Paul,George,Indiana Pacers,Atlanta Hawks,14,3,11,50,92,2009,
Paul,George,Indiana Pacers,Miami Heat,14,2,1,85,59,2006,
Paul,George,Indiana Pacers,Brooklyn Nets,11,12,12,55,100,2012,
Paul,George,Indiana Pacers,Dallas Mavericks,7,1,7,82,74,2018,
Paul,George,Indiana Pacers,Los Angeles Lakers,2,8,14,50,89,2001,
Paul,George,Indiana Pacers,New Orleans Hornets,1,2,1,99,51,2016,
Paul,George,Indiana Pacers,Minnesota Timberwolves,14,4,3,53,87,2007,
Paul,George,Indiana Pacers,Detroit Pistons,7,11,5,69,86,2015,
Paul,George,Indiana Pacers,Los Angeles Lakers,12,8,4,102,98,2018,
Paul,George,Indiana Pacers,Boston Celtics,9,6,3,89,91,2006,
Paul,George,Indiana Pacers,Portland Trail Blazers,8,14,2,74,67,2002,
Paul,George,Indiana Pacers,Oklahoma City Thunder,3,12,0,68,96,2010,
